,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Artur Boruc,38.0,12.0,12.0,1080.0,0.0,0.0,2.0,0.0,0.0,64.3,0.0,0.0,0.0,0.0,103.0
Junior Stanislas,28.0,23.0,11.0,1031.0,2.0,3.0,1.0,33.0,10.0,76.2,66.0,319.0,17.0,18.0,470.0
Chris Mepham,20.0,13.0,10.0,850.0,0.0,1.0,1.0,2.0,0.0,82.9,22.0,12.0,4.0,5.0,290.0
Jordon Ibe,22.0,19.0,9.0,797.0,1.0,1.0,1.0,9.0,0.0,75.1,44.0,220.0,25.0,25.0,284.0
Lewis Cook,21.0,13.0,8.0,723.0,0.0,0.0,2.0,3.0,0.0,82.0,40.0,95.0,9.0,9.0,318.0
Diego Rico,25.0,12.0,5.0,612.0,0.0,0.0,1.0,9.0,1.0,67.8,67.0,147.0,5.0,6.0,233.0
Jack Simpson,21.0,6.0,4.0,403.0,0.0,0.0,0.0,2.0,0.0,84.9,10.0,6.0,0.0,0.0,171.0
Dominic Solanke,20.0,10.0,2.0,347.0,0.0,1.0,0.0,9.0,0.0,72.3,6.0,81.0,9.0,9.0,119.0
Mark Travers,19.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,75.4,1.0,0.0,0.0,0.0,22.0
Tyrone Mings,25.0,5.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0,81.3,6.0,7.0,1.0,1.0,63.0
Lys Mousset,22.0,24.0,1.0,368.0,1.0,0.0,1.0,13.0,0.0,71.1,10.0,96.0,5.0,7.0,146.0
Emerson Hyndman,22.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,73.9,1.0,5.0,0.0,0.0,21.0
Jermain Defoe,35.0,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,0.0,0.0,1.0
Sam Surridge,20.0,2.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,7.0,0.0,0.0,7.0
Ben Mee,28.0,38.0,38.0,3420.0,0.0,2.0,9.0,23.0,0.0,75.4,99.0,87.0,9.0,9.0,955.0
Jack Cork,29.0,37.0,37.0,3312.0,1.0,2.0,6.0,15.0,0.0,80.1,95.0,332.0,27.0,29.0,996.0
Charlie Taylor,24.0,38.0,35.0,3243.0,0.0,1.0,2.0,6.0,0.0,71.7,163.0,579.0,41.0,43.0,1008.0
James Tarkowski,25.0,35.0,35.0,3086.0,3.0,1.0,8.0,24.0,0.0,70.7,102.0,76.0,7.0,9.0,703.0
Ashley Westwood,28.0,34.0,31.0,2824.0,2.0,7.0,5.0,22.0,1.0,73.9,200.0,458.0,11.0,11.0,1013.0
Chris Wood,26.0,38.0,29.0,2588.0,10.0,2.0,2.0,58.0,0.0,66.1,26.0,487.0,14.0,15.0,725.0
Ashley Barnes,28.0,37.0,26.0,2388.0,12.0,2.0,8.0,61.0,0.0,61.9,45.0,450.0,11.0,12.0,631.0
Jeff Hendrick,26.0,32.0,25.0,2063.0,3.0,0.0,4.0,19.0,1.0,73.3,59.0,327.0,14.0,18.0,557.0
Jóhann Berg Guðmundsson,27.0,29.0,19.0,1752.0,3.0,6.0,2.0,34.0,7.0,66.7,87.0,455.0,18.0,19.0,497.0
Matthew Lowton,29.0,21.0,19.0,1750.0,0.0,0.0,7.0,5.0,0.0,68.5,131.0,282.0,14.0,15.0,467.0
Joe Hart,31.0,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,0.0,45.2,4.0,1.0,0.0,0.0,197.0
Tom Heaton,32.0,19.0,19.0,1710.0,0.0,0.0,3.0,1.0,0.0,48.5,8.0,2.0,1.0,1.0,189.0
Phil Bardsley,33.0,19.0,19.0,1670.0,0.0,0.0,9.0,12.0,0.0,67.9,117.0,222.0,5.0,7.0,405.0
Dwight McNeil,18.0,21.0,19.0,1591.0,3.0,5.0,2.0,28.0,4.0,65.6,69.0,358.0,33.0,36.0,478.0
Aaron Lennon,31.0,16.0,14.0,1215.0,1.0,1.0,1.0,4.0,0.0,74.4,19.0,173.0,8.0,8.0,273.0
Sam Vokes,28.0,20.0,10.0,915.0,3.0,0.0,0.0,23.0,0.0,58.3,21.0,167.0,3.0,3.0,306.0
Robbie Brady,26.0,16.0,6.0,720.0,0.0,1.0,3.0,12.0,2.0,56.4,35.0,168.0,8.0,9.0,206.0
Steven Defour,30.0,6.0,6.0,448.0,0.0,0.0,0.0,0.0,0.0,79.2,21.0,39.0,1.0,1.0,188.0
Kevin Long,27.0,6.0,5.0,514.0,0.0,1.0,0.0,1.0,0.0,78.5,10.0,5.0,0.0,0.0,114.0
Matěj Vydra,26.0,13.0,3.0,318.0,1.0,1.0,1.0,6.0,0.0,59.7,4.0,65.0,3.0,3.0,87.0
Stephen Ward,32.0,3.0,3.0,228.0,0.0,0.0,1.0,1.0,0.0,72.7,16.0,45.0,2.0,2.0,95.0
Ben Gibson,25.0,1.0,1.0,62.0,1.0,0.0,1.0,1.0,0.0,65.6,2.0,2.0,1.0,1.0,21.0
Peter Crouch,37.0,6.0,0.0,92.0,0.0,0.0,1.0,4.0,0.0,44.0,2.0,26.0,0.0,0.0,34.0
Nathan Redmond,24.0,38.0,36.0,3270.0,6.0,4.0,3.0,74.0,3.0,72.2,111.0,970.0,107.0,116.0,1231.0
Pierre Højbjerg,22.0,31.0,31.0,2760.0,4.0,3.0,8.0,53.0,2.0,82.0,165.0,532.0,30.0,31.0,1429.0
Alex McCarthy,28.0,25.0,25.0,2250.0,0.0,0.0,1.0,0.0,0.0,49.9,0.0,1.0,1.0,1.0,212.0
Oriol Romeu,26.0,31.0,25.0,2136.0,1.0,0.0,11.0,10.0,0.0,80.5,130.0,190.0,12.0,12.0,765.0
Ryan Bertrand,28.0,24.0,24.0,2160.0,1.0,0.0,8.0,15.0,3.0,72.7,161.0,539.0,7.0,11.0,688.0
Jan Bednarek,22.0,25.0,24.0,2151.0,0.0,1.0,7.0,6.0,0.0,69.6,71.0,36.0,2.0,2.0,471.0
Jannik Vestergaard,25.0,23.0,23.0,2027.0,0.0,0.0,2.0,13.0,1.0,75.6,73.0,61.0,12.0,12.0,539.0
Danny Ings,26.0,24.0,23.0,1651.0,7.0,3.0,1.0,52.0,0.0,68.8,42.0,325.0,34.0,37.0,463.0
James Ward-Prowse,23.0,26.0,21.0,1945.0,7.0,0.0,4.0,30.0,7.0,68.1,88.0,482.0,6.0,7.0,596.0
Yan Valery,19.0,23.0,20.0,1712.0,2.0,1.0,4.0,6.0,0.0,61.2,83.0,340.0,22.0,26.0,385.0
Jack Stephens,24.0,24.0,19.0,1700.0,1.0,0.0,4.0,7.0,0.0,75.5,60.0,59.0,3.0,4.0,501.0
Mario Lemina,24.0,21.0,18.0,1613.0,1.0,1.0,5.0,27.0,0.0,84.5,71.0,272.0,29.0,29.0,680.0
Maya Yoshida,29.0,17.0,17.0,1518.0,0.0,1.0,0.0,13.0,0.0,78.1,33.0,37.0,2.0,2.0,343.0
Cédric Soares,26.0,18.0,16.0,1495.0,1.0,2.0,4.0,10.0,1.0,70.2,91.0,313.0,9.0,9.0,529.0
Stuart Armstrong,26.0,29.0,16.0,1432.0,3.0,2.0,2.0,32.0,0.0,76.4,71.0,433.0,18.0,18.0,609.0
Matt Targett,22.0,16.0,13.0,1186.0,1.0,3.0,2.0,11.0,1.0,66.3,107.0,342.0,2.0,2.0,423.0
Wesley Hoedt,24.0,13.0,13.0,1170.0,0.0,0.0,2.0,6.0,0.0,77.1,36.0,26.0,6.0,6.0,447.0
Shane Long,31.0,26.0,12.0,1272.0,5.0,1.0,3.0,30.0,0.0,64.1,23.0,290.0,6.0,7.0,385.0
Angus Gunn,22.0,12.0,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,38.8,0.0,0.0,0.0,0.0,94.0
Charlie Austin,29.0,25.0,11.0,983.0,2.0,2.0,1.0,33.0,0.0,61.1,9.0,175.0,5.0,8.0,243.0
Mohamed Elyounoussi,23.0,16.0,8.0,793.0,0.0,0.0,0.0,19.0,0.0,65.2,27.0,213.0,8.0,12.0,232.0
Manolo Gabbiadini,26.0,12.0,4.0,476.0,1.0,0.0,0.0,21.0,1.0,69.7,5.0,91.0,3.0,5.0,122.0
Josh Sims,21.0,7.0,2.0,212.0,0.0,1.0,0.0,5.0,0.0,78.3,3.0,37.0,3.0,3.0,45.0
Michael Obafemi,18.0,6.0,1.0,137.0,1.0,1.0,1.0,8.0,0.0,73.9,3.0,35.0,1.0,2.0,33.0
Callum Slattery,19.0,3.0,1.0,112.0,0.0,0.0,0.0,2.0,0.0,65.6,3.0,15.0,1.0,1.0,29.0
Steven Davis,33.0,3.0,1.0,98.0,0.0,1.0,0.0,0.0,0.0,94.2,7.0,14.0,0.0,0.0,50.0
Fraser Forster,30.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,7.0
Kayne Ramsey,17.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,77.8,0.0,0.0,0.0,0.0,8.0
Sam Gallagher,22.0,4.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,9.0
Tyreke Johnson,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Lewis Dunk,26.0,36.0,36.0,3151.0,2.0,1.0,6.0,22.0,1.0,83.3,50.0,83.0,1.0,1.0,1061.0
Shane Duffy,26.0,35.0,35.0,3087.0,5.0,1.0,4.0,39.0,0.0,78.1,33.0,112.0,5.0,5.0,918.0
Mathew Ryan,26.0,34.0,34.0,3060.0,0.0,0.0,2.0,0.0,0.0,54.2,0.0,0.0,0.0,0.0,395.0
Davy Pröpper,26.0,30.0,30.0,2546.0,1.0,1.0,2.0,15.0,0.0,78.3,130.0,339.0,36.0,40.0,975.0
Glenn Murray,34.0,38.0,30.0,2508.0,13.0,1.0,5.0,51.0,0.0,60.8,36.0,416.0,14.0,16.0,731.0
Solly March,24.0,35.0,30.0,2463.0,1.0,5.0,1.0,42.0,3.0,64.6,86.0,635.0,43.0,48.0,812.0
Dale Stephens,29.0,30.0,29.0,2485.0,1.0,1.0,6.0,10.0,0.0,83.6,126.0,193.0,11.0,11.0,1010.0
Martín Montoya,27.0,25.0,24.0,2167.0,0.0,1.0,4.0,8.0,0.0,78.2,148.0,315.0,12.0,15.0,717.0
Pascal Groß,27.0,25.0,24.0,1864.0,3.0,3.0,1.0,21.0,1.0,69.0,118.0,473.0,10.0,10.0,739.0
Gaëtan Bong,30.0,22.0,19.0,1808.0,0.0,0.0,0.0,2.0,0.0,68.0,116.0,249.0,11.0,14.0,487.0
Bernardo,23.0,22.0,19.0,1752.0,0.0,1.0,4.0,8.0,0.0,72.5,131.0,278.0,15.0,16.0,593.0
Anthony Knockaert,26.0,30.0,18.0,1837.0,2.0,6.0,4.0,29.0,2.0,71.1,85.0,445.0,29.0,33.0,611.0
Yves Bissouma,21.0,28.0,17.0,1774.0,0.0,0.0,5.0,31.0,3.0,82.0,52.0,289.0,51.0,59.0,636.0
Bruno,37.0,14.0,14.0,1131.0,0.0,1.0,2.0,2.0,0.0,79.8,75.0,148.0,7.0,8.0,414.0
Jürgen Locadia,24.0,26.0,12.0,1236.0,2.0,0.0,1.0,26.0,1.0,73.7,25.0,250.0,8.0,8.0,343.0
Alireza Jahanbakhsh,24.0,19.0,12.0,1020.0,0.0,0.0,2.0,22.0,0.0,68.6,32.0,208.0,17.0,22.0,298.0
Beram Kayal,30.0,18.0,9.0,940.0,1.0,1.0,4.0,4.0,0.0,69.5,29.0,73.0,8.0,8.0,211.0
José Izquierdo,26.0,15.0,9.0,795.0,0.0,1.0,1.0,15.0,0.0,77.1,18.0,152.0,11.0,13.0,196.0
Florin Andone,25.0,23.0,8.0,881.0,3.0,0.0,5.0,19.0,0.0,67.8,6.0,175.0,13.0,16.0,241.0
Leon Balogun,30.0,8.0,5.0,594.0,1.0,0.0,2.0,3.0,0.0,79.8,4.0,7.0,2.0,3.0,152.0
David Button,29.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,37.0
Neil Etheridge,28.0,38.0,38.0,3420.0,0.0,0.0,2.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,411.0
Bruno Ecuele Manga,30.0,38.0,37.0,3376.0,0.0,1.0,0.0,11.0,0.0,63.6,143.0,182.0,14.0,14.0,466.0
Sean Morrison,27.0,34.0,34.0,3039.0,1.0,3.0,6.0,33.0,0.0,57.8,68.0,187.0,11.0,12.0,371.0
Víctor Camarasa,24.0,32.0,31.0,2569.0,5.0,4.0,6.0,39.0,5.0,69.8,119.0,597.0,39.0,43.0,752.0
Joe Bennett,28.0,30.0,30.0,2639.0,0.0,1.0,5.0,10.0,3.0,67.6,157.0,318.0,24.0,27.0,435.0
Sol Bamba,33.0,28.0,28.0,2474.0,4.0,1.0,7.0,21.0,0.0,68.4,47.0,46.0,16.0,16.0,244.0
Aron Gunnarsson,29.0,28.0,27.0,2266.0,1.0,1.0,5.0,20.0,0.0,65.6,119.0,302.0,9.0,9.0,424.0
Harry Arter,28.0,25.0,24.0,1997.0,0.0,1.0,10.0,23.0,0.0,77.5,82.0,231.0,7.0,7.0,424.0
Junior Hoilett,28.0,32.0,23.0,2141.0,3.0,1.0,4.0,41.0,1.0,62.9,44.0,434.0,20.0,22.0,480.0
Joe Ralls,24.0,28.0,22.0,1959.0,0.0,0.0,4.0,22.0,0.0,65.8,140.0,299.0,4.0,4.0,513.0
Josh Murphy,23.0,29.0,22.0,1817.0,3.0,2.0,2.0,45.0,3.0,54.4,35.0,406.0,46.0,54.0,453.0
Callum Paterson,23.0,27.0,21.0,1998.0,4.0,1.0,4.0,39.0,0.0,48.1,69.0,417.0,9.0,13.0,528.0
Lee Peltier,31.0,20.0,17.0,1544.0,0.0,0.0,4.0,1.0,0.0,63.1,62.0,133.0,4.0,4.0,197.0
Bobby Reid,25.0,27.0,16.0,1424.0,5.0,2.0,0.0,25.0,1.0,71.8,20.0,238.0,23.0,25.0,338.0
Oumar Niasse,28.0,13.0,12.0,931.0,0.0,0.0,0.0,17.0,0.0,68.0,14.0,197.0,29.0,32.0,269.0
Nathaniel Mendez-Laing,26.0,20.0,11.0,985.0,4.0,1.0,0.0,20.0,0.0,60.9,37.0,211.0,26.0,26.0,273.0
Kenneth Zohore,24.0,19.0,7.0,753.0,1.0,1.0,1.0,17.0,0.0,66.0,10.0,166.0,5.0,5.0,207.0
Greg Cunningham,27.0,7.0,7.0,630.0,0.0,0.0,3.0,1.0,0.0,72.9,32.0,65.0,1.0,1.0,117.0
Leandro Bacuna,26.0,11.0,4.0,561.0,0.0,0.0,2.0,5.0,0.0,67.9,24.0,51.0,4.0,4.0,78.0
Danny Ward,26.0,14.0,4.0,445.0,1.0,0.0,0.0,12.0,0.0,55.3,8.0,70.0,1.0,1.0,100.0
Kadeem Harris,25.0,13.0,3.0,375.0,1.0,0.0,1.0,5.0,0.0,64.6,9.0,101.0,11.0,13.0,116.0
Jazz Richards,27.0,4.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,71.4,2.0,8.0,0.0,0.0,13.0
Rhys Healey,23.0,3.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,20.0,1.0,14.0,1.0,1.0,12.0
Gary Madine,27.0,5.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,92.3,3.0,11.0,1.0,1.0,12.0
Loïc Damour,27.0,2.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,72.7,0.0,5.0,0.0,0.0,10.0
Aleksandar Mitrović,23.0,37.0,37.0,3280.0,11.0,3.0,7.0,122.0,2.0,72.3,64.0,656.0,32.0,34.0,1195.0
Sergio Rico,24.0,29.0,29.0,2610.0,0.0,0.0,1.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0,354.0
Denis Odoi,30.0,31.0,29.0,2594.0,0.0,1.0,4.0,10.0,0.0,82.2,104.0,164.0,22.0,23.0,976.0
Calum Chambers,23.0,31.0,29.0,2588.0,2.0,0.0,9.0,35.0,0.0,78.4,130.0,237.0,25.0,28.0,1146.0
Joe Bryan,24.0,28.0,27.0,2345.0,0.0,1.0,5.0,21.0,0.0,70.3,176.0,447.0,18.0,19.0,861.0
Jean Seri,27.0,32.0,27.0,2244.0,1.0,2.0,6.0,18.0,3.0,83.7,172.0,481.0,16.0,16.0,1367.0
Ryan Sessegnon,18.0,35.0,26.0,2300.0,2.0,6.0,0.0,28.0,0.0,70.2,91.0,447.0,32.0,35.0,686.0
Maxime Le Marchand,28.0,26.0,25.0,2250.0,0.0,1.0,5.0,4.0,0.0,82.5,87.0,116.0,9.0,9.0,1039.0
Tim Ream,30.0,26.0,25.0,2047.0,0.0,0.0,1.0,1.0,0.0,87.8,70.0,21.0,6.0,6.0,760.0
Tom Cairney,27.0,31.0,24.0,2194.0,1.0,1.0,0.0,24.0,0.0,89.0,119.0,520.0,44.0,50.0,1325.0
André Schürrle,27.0,24.0,21.0,1641.0,6.0,0.0,2.0,56.0,4.0,74.6,52.0,388.0,27.0,30.0,584.0
Cyrus Christie,25.0,28.0,19.0,1948.0,0.0,1.0,7.0,11.0,0.0,73.4,126.0,485.0,30.0,31.0,829.0
Andre-Frank Zambo Anguissa,22.0,22.0,16.0,1517.0,0.0,0.0,2.0,20.0,0.0,87.6,83.0,198.0,31.0,33.0,887.0
Ryan Babel,31.0,16.0,15.0,1251.0,5.0,3.0,3.0,25.0,0.0,79.6,42.0,287.0,36.0,37.0,516.0
Alfie Mawson,24.0,15.0,13.0,1131.0,0.0,0.0,2.0,2.0,0.0,81.5,29.0,12.0,3.0,3.0,335.0
Luciano Vietto,24.0,20.0,10.0,986.0,1.0,4.0,1.0,24.0,0.0,76.8,30.0,285.0,13.0,15.0,427.0
Kevin McDonald,29.0,15.0,10.0,841.0,0.0,0.0,5.0,4.0,0.0,85.4,35.0,62.0,1.0,1.0,440.0
Timothy Fosu-Mensah,20.0,12.0,10.0,793.0,0.0,0.0,3.0,4.0,0.0,79.0,51.0,121.0,9.0,9.0,359.0
Marcus Bettinelli,26.0,7.0,7.0,630.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,110.0
Aboubakar Kamara,23.0,13.0,5.0,693.0,3.0,0.0,2.0,19.0,0.0,70.2,13.0,221.0,16.0,20.0,262.0
Stefan Johansen,27.0,12.0,4.0,417.0,0.0,0.0,4.0,1.0,1.0,76.8,31.0,67.0,3.0,4.0,192.0
Håvard Nordtveit,28.0,5.0,4.0,362.0,0.0,1.0,0.0,0.0,0.0,83.8,7.0,2.0,2.0,2.0,177.0
Floyd Ayité,29.0,16.0,3.0,476.0,1.0,0.0,0.0,7.0,0.0,76.1,24.0,126.0,13.0,15.0,198.0
Fabricio,30.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,21.0
Ibrahima Cissé,24.0,3.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,84.8,3.0,1.0,1.0,2.0,21.0
Neeskens Kebano,26.0,7.0,0.0,108.0,0.0,0.0,0.0,1.0,0.0,78.1,1.0,29.0,1.0,1.0,32.0
Lazar Marković,24.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,96.7,2.0,15.0,0.0,0.0,33.0
Harvey Elliot,15.0,2.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,83.3,1.0,11.0,1.0,1.0,13.0
Christopher Schindler,28.0,37.0,37.0,3260.0,1.0,0.0,5.0,14.0,0.0,84.7,71.0,62.0,1.0,1.0,1039.0
Terence Kongolo,24.0,32.0,32.0,2716.0,1.0,1.0,4.0,14.0,0.0,76.0,112.0,187.0,13.0,14.0,918.0
Jonas Lössl,29.0,31.0,30.0,2778.0,0.0,1.0,1.0,0.0,0.0,63.2,1.0,3.0,2.0,2.0,536.0
Jonathan Hogg,29.0,29.0,29.0,2367.0,0.0,1.0,8.0,8.0,0.0,83.9,101.0,342.0,14.0,15.0,1088.0
Alex Pritchard,25.0,30.0,26.0,2081.0,2.0,0.0,2.0,48.0,1.0,71.0,90.0,657.0,33.0,39.0,897.0
Aaron Mooy,27.0,29.0,25.0,2330.0,3.0,1.0,4.0,39.0,8.0,75.5,172.0,700.0,30.0,32.0,1112.0
Philip Billing,22.0,27.0,25.0,2188.0,2.0,0.0,7.0,43.0,3.0,72.9,132.0,557.0,21.0,22.0,893.0
Mathias Jørgensen,28.0,24.0,24.0,2147.0,3.0,1.0,6.0,8.0,0.0,81.7,109.0,62.0,2.0,3.0,805.0
Chris Löwe,29.0,29.0,23.0,2057.0,0.0,2.0,2.0,18.0,1.0,69.1,99.0,434.0,12.0,12.0,733.0
Erik Durm,26.0,28.0,21.0,2055.0,0.0,1.0,0.0,8.0,0.0,69.8,125.0,419.0,15.0,15.0,636.0
Florent Hadergjonaj,24.0,24.0,19.0,1842.0,0.0,0.0,1.0,6.0,0.0,71.8,124.0,415.0,11.0,11.0,679.0
Steve Mounié,23.0,31.0,19.0,1778.0,2.0,3.0,1.0,63.0,0.0,65.2,27.0,359.0,12.0,14.0,611.0
Juninho Bacuna,20.0,21.0,16.0,1412.0,1.0,0.0,4.0,17.0,2.0,73.3,100.0,226.0,31.0,36.0,596.0
Elias Kachunga,26.0,20.0,13.0,1182.0,0.0,0.0,2.0,14.0,0.0,72.1,22.0,204.0,18.0,19.0,306.0
Tommy Smith,26.0,15.0,13.0,1141.0,0.0,0.0,2.0,2.0,0.0,76.1,57.0,168.0,4.0,4.0,386.0
Laurent Depoitre,29.0,23.0,10.0,1068.0,0.0,1.0,1.0,34.0,0.0,64.8,17.0,224.0,7.0,8.0,323.0
Isaac Mbenza,22.0,22.0,10.0,986.0,1.0,1.0,1.0,15.0,0.0,66.7,21.0,168.0,10.0,13.0,257.0
Karlan Grant,20.0,13.0,9.0,877.0,3.0,0.0,0.0,21.0,0.0,69.0,11.0,167.0,13.0,13.0,233.0
Jon Gorenc Stanković,22.0,11.0,9.0,715.0,1.0,0.0,2.0,9.0,0.0,78.7,24.0,38.0,3.0,3.0,210.0
Ben Hamer,30.0,7.0,7.0,552.0,0.0,0.0,0.0,0.0,0.0,46.9,0.0,0.0,0.0,0.0,85.0
Adama Diakhaby,22.0,12.0,6.0,552.0,0.0,0.0,1.0,7.0,0.0,72.0,11.0,130.0,11.0,11.0,185.0
Rajiv van La Parra,27.0,5.0,5.0,405.0,0.0,0.0,0.0,5.0,0.0,77.7,10.0,93.0,7.0,8.0,141.0
Jason Puncheon,32.0,6.0,5.0,382.0,0.0,0.0,1.0,6.0,0.0,78.5,28.0,106.0,8.0,8.0,171.0
Danny Williams,29.0,5.0,1.0,96.0,0.0,0.0,1.0,1.0,0.0,76.9,3.0,9.0,1.0,1.0,20.0
Joel Coleman,22.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,18.0
Aaron Rowe,17.0,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,76.5,1.0,16.0,2.0,2.0,20.0
Abdelhamid Sabiri,21.0,2.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,3.0,0.0,0.0,8.0
Demeaco Duhaney,19.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,71.4,6.0,12.0,0.0,0.0,21.0
Ramadan Sobhi,21.0,4.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,84.1,7.0,39.0,3.0,3.0,42.0
Matty Daly,17.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,4.0,0.0,1.0,13.0
Collin Quaner,27.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,76.5,3.0,14.0,0.0,0.0,18.0
